name, street, city, state, zipcode, county, lat, long
MESIVTA HIGH SCHOOL OF GREATER BOSTON,34 SPARHAWK ST,BRIGHTON,MA,02135,Suffolk County,42.35131,-71.151561
Methuen High,1 Ranger Rd,Methuen,MA,01844,Essex County,42.73266,-71.172074
METROWEST CHRISTIAN ACADEMY,350 PLEASANT ST,ASHLAND,MA,01721,Middlesex County,42.26149,-71.478901
METROWEST JEWISH DAY SCHOOL,50 PAMELA RD,FRAMINGHAM,MA,01701,Middlesex County,42.326203,-71.423804
Michael Driscoll,725 Washington St,Brookline,MA,02446,Norfolk County,42.340279,-71.135867
Michael E. Smith Middle School,100 Mosier Street,South Hadley,MA,01075,Hampshire County,42.245943,-72.577518
Middleborough High,71 East Grove Street,Middleborough,MA,02346,Plymouth County,41.880406,-70.904462
Midland Street,18 Midland Street,Worcester,MA,01602,Worcester County,42.271064,-71.826825
Mildred Aitken School,165 Newman Avenue,Seekonk,MA,02771,Bristol County,41.845039,-71.334077
Mildred Avenue K-8 School,5 Mildred Avenue,Mattapan,MA,02126,Suffolk County,42.276108,-71.091333
Mile Tree Elementary,625 Main Street,Wilbraham,MA,01095,Hampden County,42.110902,-72.438173
Miles River Middle,787 Bay Rd,Hamilton,MA,01982,Essex County,42.629386,-70.846765
MILESTONES DAY SCHOOL,410 TOTTEN POND RD,WALTHAM,MA,02451,Middlesex County,42.394895,-71.254527
Milford High,31 West Fountain Street,Milford,MA,01757,Worcester County,42.148593,-71.535559
MILL POND SCHOOL,91 OLD ACRE RD,SPRINGFIELD,MA,01129,Hampden County,42.112746,-72.495004
Mill Pond School,6 Olde Hickory Path,Westborough,MA,01581,Worcester County,42.256133,-71.649904
Millbury Junior/Senior High,12 Martin Street,Millbury,MA,01527,Worcester County,42.19995,-71.76752
Millbury Street Elementary School,105 Millbury Street,Grafton,MA,01519,Worcester County,42.198398,-71.71024
Miller School,235 Woodland Street,Holliston,MA,01746,Middlesex County,42.207109,-71.422177
Millis High School,245 Plain Street,Millis,MA,02054,Norfolk County,42.162639,-71.35774
Millis Middle,245 Plain Street,Millis,MA,02054,Norfolk County,42.162639,-71.35774
Millville Elementary,122 Berthelette Way,Millville,MA,01529,Worcester County,42.032813,-71.577978
MILTON ACADEMY,170 CENTRE ST,MILTON,MA,02186,Norfolk County,42.25657,-71.069551
Milton Bradley School,22 Mulberry Street,Springfield,MA,01105,Hampden County,42.101555,-72.580285
Milton Fuller Roberts,35 Court Street,Medford,MA,02155,Middlesex County,42.42194,-71.09947
Milton High,25 Gile Road,Milton,MA,02186,Norfolk County,42.25159,-71.087037
